source,target,weight,n_evidence,co_conv,co_reply,co_temporal,co_hashtag,co_similarity_char5
kulitglowing_ip4767,reviewjujur_ip2228,1.0,1,8,0.0,0.0,16,0.0872
kulitglowing_ip4767,skinbestie_ip1027,1.0,1,8,0.0,0.0,16,0.1252
kulitglowing_ip4767,skincare_ip7443,1.0,1,8,0.0,0.0,16,0.0709
kulitglowing_ip4767,skinclub_ip8942,1.0,1,8,0.0,0.0,16,0.1135
kulitglowing_ip4767,skinlover_ip4667,1.0,1,8,0.0,0.0,16,0.0624
kulitglowing_ip7028,racun_ip2774,0.75,2,5,0.0,1.0,20,0.069
kulitglowing_ip7028,reviewjujur_ip9284,0.625,1,5,0.0,0.0,20,0.0384
kulitglowing_ip7028,skincare_ip2565,0.625,1,5,0.0,0.0,20,0.0451
kulitglowing_ip7028,skinclub_ip8582,0.625,1,5,0.0,0.0,20,0.0638
kulitglowing_ip7028,skinlover_ip4018,0.625,1,5,0.0,0.0,20,0.0415
kulitglowing_ip9832,reviewjujur_ip2228,1.0,1,8,0.0,0.0,16,0.0292
kulitglowing_ip9832,skinbestie_ip1027,1.0,1,8,0.0,0.0,16,0.0504
kulitglowing_ip9832,skincare_ip7443,1.0,1,8,0.0,0.0,16,0.0879
kulitglowing_ip9832,skinclub_ip8942,1.0,1,8,0.0,0.0,16,0.0727
kulitglowing_ip9832,skinlover_ip4667,1.0,1,8,0.0,0.0,16,0.1073
kulitglowing_rr91939,racun_rr28461,0.8035714285714286,2,3,3.0,0.0,9,0.068
kulitkece_r3c01m00x5166,kulitkece_r3c01m01x2583,0.7857142857142857,3,3,2.0,1.0,12,0.1689
kulitkece_r3c01m00x5166,kulitkece_r3c01m02x7223,0.7857142857142857,3,3,2.0,1.0,12,0.4028
kulitkece_r3c01m00x5166,kulitkece_r3c01m03x9803,0.7857142857142857,3,3,2.0,1.0,12,0.1686
kulitkece_r3c01m00x5166,kulitkece_r3c01m04x8079,0.7857142857142857,3,3,2.0,1.0,12,0.1634
kulitkece_r3c01m01x2583,kulitkece_r3c01m02x7223,0.5,2,3,0.0,1.0,12,0.1875
kulitkece_r3c01m01x2583,kulitkece_r3c01m03x9803,0.5,2,3,0.0,1.0,12,0.539
kulitkece_r3c01m01x2583,kulitkece_r3c01m04x8079,0.5,2,3,0.0,1.0,12,0.6639
kulitkece_r3c01m02x7223,kulitkece_r3c01m03x9803,0.5,2,3,0.0,1.0,12,0.4555
kulitkece_r3c01m02x7223,kulitkece_r3c01m04x8079,0.5,2,3,0.0,1.0,12,0.1872
kulitkece_r3c01m03x9803,kulitkece_r3c01m04x8079,0.5,2,3,0.0,1.0,12,0.3617
kulitsehat_ct8443,racun_ct2295,0.75,2,3,0.0,3.0,4,0.0046
kulitsehat_ct8443,racun_ct8621,0.75,2,3,0.0,3.0,4,0.0031
kulitsehat_ct8443,skinbestie_ct9276,0.75,2,3,0.0,3.0,4,0.035
kulitsehat_ip5592,skincare_ip6366,0.75,1,6,0.0,0.0,21,0.0331
kulitsehat_ip5592,skinlover_ip490,0.75,1,6,0.0,0.0,21,0.0849
kulitsehat_ip5592,skinlover_ip9713,0.75,1,6,0.0,0.0,21,0.0388
produkjujur_r3c00m00x5907,produkjujur_r3c00m01x6024,0.9107142857142857,3,3,2.0,2.0,5,0.1779
produkjujur_r3c00m00x5907,produkjujur_r3c00m02x8296,0.9107142857142857,3,3,2.0,2.0,5,0.1783
produkjujur_r3c00m00x5907,produkjujur_r3c00m03x5660,0.9107142857142857,3,3,2.0,2.0,5,0.1839
produkjujur_r3c00m01x6024,produkjujur_r3c00m02x8296,0.625,2,3,0.0,2.0,5,0.6353
produkjujur_r3c00m01x6024,produkjujur_r3c00m03x5660,0.625,2,3,0.0,2.0,5,0.1567
produkjujur_r3c00m02x8296,produkjujur_r3c00m03x5660,0.625,2,3,0.0,2.0,5,0.159
racikcantik_r3c08m00x5448,racikcantik_r3c08m01x2011,0.7857142857142857,3,3,2.0,1.0,8,0.1473
racikcantik_r3c08m00x5448,racikcantik_r3c08m02x8325,0.7857142857142857,3,3,2.0,1.0,8,0.4767
racikcantik_r3c08m00x5448,racikcantik_r3c08m03x4529,0.7857142857142857,3,3,2.0,1.0,8,0.1401
racikcantik_r3c08m00x5448,racikcantik_r3c08m04x3650,0.7857142857142857,3,3,2.0,1.0,8,0.4681
racikcantik_r3c08m01x2011,racikcantik_r3c08m02x8325,0.5,2,3,0.0,1.0,8,0.283
racikcantik_r3c08m01x2011,racikcantik_r3c08m03x4529,0.5,2,3,0.0,1.0,8,0.4217
racikcantik_r3c08m01x2011,racikcantik_r3c08m04x3650,0.5,2,3,0.0,1.0,8,0.3466
racikcantik_r3c08m02x8325,racikcantik_r3c08m03x4529,0.5,2,3,0.0,1.0,8,0.2694
racikcantik_r3c08m02x8325,racikcantik_r3c08m04x3650,0.5,2,3,0.0,1.0,8,0.4735
racikcantik_r3c08m03x4529,racikcantik_r3c08m04x3650,0.5,2,3,0.0,1.0,8,0.2973
racun_ct1114,skinbestie_ct5848,0.75,2,3,0.0,3.0,10,0.0
racun_ct1114,skinclub_ct4422,0.75,2,3,0.0,3.0,10,0.0136
racun_ct19392,reviewjujur_ct84556,0.75,2,3,0.0,3.0,10,0.0307
racun_ct19392,skinclub_ct998,0.75,2,3,0.0,3.0,10,0.0406
racun_ct2082,skinclub_ct3535,0.75,2,3,0.0,3.0,9,0.0192
racun_ct2295,racun_ct8621,0.75,2,3,0.0,3.0,4,0.0281
racun_ct2295,skinbestie_ct9276,0.75,2,3,0.0,3.0,4,0.0107
racun_ct2554,racun_ct5875,0.75,2,3,0.0,3.0,2,0.0627
racun_ct2554,reviewjujur_ct5021,0.75,2,3,0.0,3.0,2,0.0087
racun_ct2554,reviewjujur_ct8615,0.75,2,3,0.0,3.0,2,0.0122
racun_ct2554,skinbestie_ct9146,0.75,2,3,0.0,3.0,2,0.0032
racun_ct2554,skincare_ct1100,0.75,2,3,0.0,3.0,2,0.0168
racun_ct40815,reviewjujur_ct43520,1.5,2,6,0.0,6.0,21,0.0128
racun_ct40815,testireal_ct49360,1.5,2,6,0.0,6.0,21,0.0933
racun_ct5624,skinlover_ct7606,0.75,2,3,0.0,3.0,17,0.03
racun_ct5875,reviewjujur_ct5021,0.75,2,3,0.0,3.0,2,0.0132
racun_ct5875,reviewjujur_ct8615,0.75,2,3,0.0,3.0,2,0.0345
racun_ct5875,skinbestie_ct9146,0.75,2,3,0.0,3.0,2,0.0189
racun_ct5875,skincare_ct1100,0.75,2,3,0.0,3.0,2,0.0204
racun_ct61657,skincare_ct68797,0.75,2,3,0.0,3.0,7,0.0736
racun_ct7880,reviewjujur_ct9366,0.75,2,3,0.0,3.0,3,0.0901
racun_ct7880,reviewjujur_ct9773,0.75,2,3,0.0,3.0,3,0.0193
racun_ct7880,skinbestie_ct9114,0.75,2,3,0.0,3.0,3,0.06
racun_ct7880,skinlover_ct782,0.75,2,3,0.0,3.0,3,0.0
racun_ct8621,skinbestie_ct9276,0.75,2,3,0.0,3.0,4,0.0357
racun_ip2774,reviewjujur_ip9284,0.875,1,7,0.0,0.0,22,0.0412
racun_ip2774,skincare_ip2565,0.875,1,7,0.0,0.0,22,0.0422
racun_ip2774,skinclub_ip8582,0.875,1,7,0.0,0.0,22,0.0423
racun_ip2774,skinlover_ip4018,0.875,1,7,0.0,0.0,22,0.0318
reviewjujur_ct33360,reviewjujur_ct9800,0.75,2,3,0.0,3.0,10,0.0012
reviewjujur_ct39243,reviewjujur_ct55350,2.0,2,8,0.0,8.0,33,0.0196
reviewjujur_ct39243,reviewjujur_ct97003,2.0,2,8,0.0,8.0,33,0.0382
reviewjujur_ct43520,testireal_ct49360,1.5,2,6,0.0,6.0,21,0.0819
reviewjujur_ct5021,reviewjujur_ct8615,0.75,2,3,0.0,3.0,2,0.0137
reviewjujur_ct5021,skinbestie_ct9146,0.75,2,3,0.0,3.0,2,0.0
reviewjujur_ct5021,skincare_ct1100,0.75,2,3,0.0,3.0,2,0.0
reviewjujur_ct55350,reviewjujur_ct97003,2.0,2,8,0.0,8.0,33,0.0071
reviewjujur_ct6118,skinlover_ct8756,0.75,2,3,0.0,3.0,9,0.0145
reviewjujur_ct7045,skincare_ct1453,0.75,2,3,0.0,3.0,10,0.0325
reviewjujur_ct84556,skinclub_ct998,0.75,2,3,0.0,3.0,10,0.0582
reviewjujur_ct8615,skinbestie_ct9146,0.75,2,3,0.0,3.0,2,0.0655
reviewjujur_ct8615,skincare_ct1100,0.75,2,3,0.0,3.0,2,0.0
reviewjujur_ct9366,reviewjujur_ct9773,0.75,2,3,0.0,3.0,3,0.0363
reviewjujur_ct9366,skinbestie_ct9114,0.75,2,3,0.0,3.0,3,0.0573
reviewjujur_ct9366,skinlover_ct782,0.75,2,3,0.0,3.0,3,0.0019
reviewjujur_ct9773,skinbestie_ct9114,0.75,2,3,0.0,3.0,3,0.0343
reviewjujur_ct9773,skinlover_ct782,0.75,2,3,0.0,3.0,3,0.0015
reviewjujur_ip2228,skinbestie_ip1027,1.0,1,8,0.0,0.0,16,0.1094
reviewjujur_ip2228,skincare_ip7443,1.0,1,8,0.0,0.0,16,0.0545
reviewjujur_ip2228,skinclub_ip8942,1.0,1,8,0.0,0.0,16,0.0668
reviewjujur_ip2228,skinlover_ip4667,1.125,2,8,0.0,1.0,16,0.0749
reviewjujur_ip9284,skincare_ip2565,0.875,1,7,0.0,0.0,22,0.0836
reviewjujur_ip9284,skinclub_ip8582,0.875,1,7,0.0,0.0,22,0.047
reviewjujur_ip9284,skinlover_ip4018,0.875,1,7,0.0,0.0,22,0.0991
reviewpedas_r3c09m00x7495,reviewpedas_r3c09m01x4727,1.0357142857142856,3,3,2.0,3.0,7,0.4049
reviewpedas_r3c09m00x7495,reviewpedas_r3c09m02x6779,1.0357142857142856,3,3,2.0,3.0,7,0.4471
reviewpedas_r3c09m00x7495,reviewpedas_r3c09m03x3704,1.0357142857142856,3,3,2.0,3.0,7,0.2691
reviewpedas_r3c09m00x7495,reviewpedas_r3c09m04x5100,1.0357142857142856,3,3,2.0,3.0,7,0.4036
reviewpedas_r3c09m01x4727,reviewpedas_r3c09m02x6779,0.75,2,3,0.0,3.0,7,0.2095
reviewpedas_r3c09m01x4727,reviewpedas_r3c09m03x3704,0.75,2,3,0.0,3.0,7,0.2176
reviewpedas_r3c09m01x4727,reviewpedas_r3c09m04x5100,0.75,2,3,0.0,3.0,7,0.3066
reviewpedas_r3c09m02x6779,reviewpedas_r3c09m03x3704,0.75,2,3,0.0,3.0,7,0.3513
reviewpedas_r3c09m02x6779,reviewpedas_r3c09m04x5100,0.75,2,3,0.0,3.0,7,0.4588
reviewpedas_r3c09m03x3704,reviewpedas_r3c09m04x5100,0.75,2,3,0.0,3.0,7,0.2159
skinbestie_ct5848,skinclub_ct4422,0.75,2,3,0.0,3.0,10,0.0
skinbestie_ct9114,skinlover_ct782,0.75,2,3,0.0,3.0,3,0.0352
skinbestie_ct9146,skincare_ct1100,0.75,2,3,0.0,3.0,2,0.0041
skinbestie_ip1027,skincare_ip7443,1.0,1,8,0.0,0.0,16,0.0498
skinbestie_ip1027,skinclub_ip8942,1.0,1,8,0.0,0.0,16,0.0305
skinbestie_ip1027,skinlover_ip4667,1.0,1,8,0.0,0.0,16,0.0639
skincare_ct7727,skinclub_ct2318,0.75,2,3,0.0,3.0,6,0.0304
skincare_ct78893,skintok_ct53509,1.0,2,4,0.0,4.0,7,0.0
skincare_ct78893,testireal_ct35011,1.0,2,4,0.0,4.0,7,0.0252
skincare_ct8136,skinlover_ct4123,0.75,2,3,0.0,3.0,21,0.0731
skincare_ip2565,skinclub_ip8582,0.875,1,7,0.0,0.0,22,0.0478
skincare_ip2565,skinlover_ip4018,0.875,1,7,0.0,0.0,22,0.065
skincare_ip6366,skinlover_ip490,0.75,1,6,0.0,0.0,21,0.0756
skincare_ip6366,skinlover_ip9713,0.75,1,6,0.0,0.0,21,0.0695
skincare_ip7443,skinclub_ip8942,1.0,1,8,0.0,0.0,16,0.0549
skincare_ip7443,skinlover_ip4667,1.0,1,8,0.0,0.0,16,0.0813
skinclub_ct15395,testireal_ct62779,1.0,2,4,0.0,4.0,17,0.0276
skinclub_ct7669,skinclub_ct9386,0.75,2,3,0.0,3.0,6,0.018
skinclub_ip8582,skinlover_ip4018,0.875,1,7,0.0,0.0,22,0.0355
skinclub_ip8942,skinlover_ip4667,1.0,1,8,0.0,0.0,16,0.0487
skinclub_rr29031,skinlover_ct782,0.8035714285714286,2,3,3.0,0.0,3,0.0
skinlover_ct23275,skintok_ct36635,1.25,2,5,0.0,5.0,8,0.0292
skinlover_ct23275,skintok_ct98906,1.25,2,5,0.0,5.0,8,0.0489
skinlover_ct4123,skintok_rr45965,1.0714285714285714,2,4,4.0,0.0,24,0.0161
skinlover_ip490,skinlover_ip9713,0.75,1,6,0.0,0.0,21,0.0612
skinreview_r3c04m00x5770,skinreview_r3c04m01x7927,0.9107142857142857,3,3,2.0,2.0,15,0.5279
skinreview_r3c04m00x5770,skinreview_r3c04m02x8520,0.9107142857142857,3,3,2.0,2.0,15,0.1612
skinreview_r3c04m00x5770,skinreview_r3c04m03x3054,0.9107142857142857,3,3,2.0,2.0,15,0.2042
skinreview_r3c04m01x7927,skinreview_r3c04m02x8520,0.625,2,3,0.0,2.0,15,0.4072
skinreview_r3c04m01x7927,skinreview_r3c04m03x3054,0.625,2,3,0.0,2.0,15,0.2227
skinreview_r3c04m02x8520,skinreview_r3c04m03x3054,0.625,2,3,0.0,2.0,15,0.1852
skintok_ct36635,skintok_ct98906,1.25,2,5,0.0,5.0,8,0.0291
skintok_ct53509,testireal_ct35011,1.0,2,4,0.0,4.0,7,0.0047
testiaman_r3c02m00x9822,testiaman_r3c02m01x8585,1.0357142857142856,3,3,2.0,3.0,9,0.625
testiaman_r3c02m00x9822,testiaman_r3c02m02x2716,1.0357142857142856,3,3,2.0,3.0,9,0.2653
testiaman_r3c02m00x9822,testiaman_r3c02m03x8993,1.0357142857142856,3,3,2.0,3.0,9,0.2654
testiaman_r3c02m00x9822,testiaman_r3c02m04x8847,1.0357142857142856,3,3,2.0,3.0,9,0.3925
testiaman_r3c02m01x8585,testiaman_r3c02m02x2716,0.75,2,3,0.0,3.0,9,0.3312
testiaman_r3c02m01x8585,testiaman_r3c02m03x8993,0.75,2,3,0.0,3.0,9,0.2405
testiaman_r3c02m01x8585,testiaman_r3c02m04x8847,0.75,2,3,0.0,3.0,9,0.4641
testiaman_r3c02m02x2716,testiaman_r3c02m03x8993,0.75,2,3,0.0,3.0,9,0.4997
testiaman_r3c02m02x2716,testiaman_r3c02m04x8847,0.75,2,3,0.0,3.0,9,0.5191
testiaman_r3c02m03x8993,testiaman_r3c02m04x8847,0.75,2,3,0.0,3.0,9,0.2832
ulasankilat_r3c07m00x2561,ulasankilat_r3c07m01x9795,0.7857142857142857,3,3,2.0,1.0,5,0.4144
ulasankilat_r3c07m00x2561,ulasankilat_r3c07m02x4325,0.7857142857142857,3,3,2.0,1.0,5,0.6319
ulasankilat_r3c07m00x2561,ulasankilat_r3c07m03x2101,0.7857142857142857,3,3,2.0,1.0,5,0.4268
ulasankilat_r3c07m00x2561,ulasankilat_r3c07m04x5222,0.7857142857142857,3,3,2.0,1.0,5,0.4452
ulasankilat_r3c07m01x9795,ulasankilat_r3c07m02x4325,0.5,2,3,0.0,1.0,5,0.5001
ulasankilat_r3c07m01x9795,ulasankilat_r3c07m03x2101,0.5,2,3,0.0,1.0,5,0.7318
ulasankilat_r3c07m01x9795,ulasankilat_r3c07m04x5222,0.5,2,3,0.0,1.0,5,0.3356
ulasankilat_r3c07m02x4325,ulasankilat_r3c07m03x2101,0.5,2,3,0.0,1.0,5,0.3952
ulasankilat_r3c07m02x4325,ulasankilat_r3c07m04x5222,0.5,2,3,0.0,1.0,5,0.4728
ulasankilat_r3c07m03x2101,ulasankilat_r3c07m04x5222,0.5,2,3,0.0,1.0,5,0.2251
