path,tracked_status,ignored_status,file_type,extension,size_bytes,sha256,lfs_tracked,referenced_by_count,referenced_by,producer,consumer,classification,proposed_action,justification,risk_level,immutable,content_may_change,notes
output/rm2_actor_type/gephi/gephi_community_mass_direct_edges.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,317,2c83fd944658cd0e2eae6450576aa2078e78a549b438705f8b8993832f0afd56,False,0,,optional reply-only diagnostic,Community-Mass provenance,LEGACY_REQUIRED_FOR_REPRODUCIBILITY,Keep,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.,MEDIUM,False,False,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.
output/rm2_actor_type/gephi/gephi_community_mass_direct_edges_undirected.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,805,9f7e9e57ff9efbed6a252c73cce338342246a45c25c02e389c6537229c85dcc3,False,0,,optional reply-only diagnostic,Community-Mass provenance,LEGACY_REQUIRED_FOR_REPRODUCIBILITY,Keep,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.,MEDIUM,False,False,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.
output/rm2_actor_type/gephi/gephi_community_mass_direct_nodes.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,207,e90c3ee718fb49617fa5e9f7a1c7f74597a85e803cf814c9a452d8fda07f216b,False,0,,optional reply-only diagnostic,Community-Mass provenance,LEGACY_REQUIRED_FOR_REPRODUCIBILITY,Keep,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.,MEDIUM,False,False,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.
output/rm2_actor_type/gephi/gephi_hcc_edges_actor_type.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,31340,5f41376b5f2a262fbf077f54b1914584824055934242f8c92efcae46dd0a2213,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/gephi/gephi_hcc_nodes_actor_type.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,44051,1136ced49660994613315b94ba289ca4e84eebe6e04fbafd3b843ade9b4ae2b9,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/gephi/gephi_lcn_edges_actor_type.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,250396,071298b8f0bd4d71069d743778a14a795742a94964f2d796b62dad02b51de743,False,5,03_rm2_actor_type_typology.ipynb; README.md; scripts/build_rm2_comment_similarity_examples.py; scripts/build_rm2_community_mass_account_network.py; scripts/build_rm2_community_mass_direct_interactions.py,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/gephi/gephi_lcn_nodes_actor_type.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,169732,6adf2d91b1f75e56402e85f669b29bc445cf0625640a887a992885abc12bda5d,False,6,03_rm2_actor_type_typology.ipynb; README.md; scripts/apply_rm2_sentiment_v2_final_inference.py; scripts/build_rm2_comment_similarity_examples.py; scripts/build_rm2_community_mass_account_network.py; scripts/build_rm2_community_mass_direct_interactions.py,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/tables/account_actor_type.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,12783507,07a6de95a9913b99e8593dadb58d9ed075169c6ca8584ae12fe0826892667e60,False,4,scripts/build_rm2_comment_similarity_examples.py; scripts/build_rm2_community_mass_account_network.py; scripts/build_rm2_community_mass_direct_interactions.py; scripts/build_rm2_sentiment_v2_annotation_package.py,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/tables/actor_type_by_goals.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,910,38b9e863e7a5e6231f5a15bbbd4b8ecaeab62afc6881d0cb4c8306dce66133d4,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/tables/actor_type_by_target.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,1201,4569e5bff47314cb7c9b61e5f0d33909e39d5847846d5bc99eb861ec5857f570,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/tables/actor_type_edges_analysis.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,133898,8e0e2081409921900378b8f8f588ebd71690b66df83c9c63b617a4fe2172a0c0,False,1,README.md,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/tables/actor_type_gephi_input_audit.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,406,6333f339b45856451129b8b395723353e85f3ea83680d1eee012fa986e4b8bcd,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/tables/actor_type_gephi_validation_report.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,2845,ca04e9cf8f25e0b2bf6aea61072af9f4476267c73e6e36f32b5e491295fb6a9f,False,1,README.md,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/tables/actor_type_goals_pooled.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,899,9798aac97045f07abe0638f521f84a9f27b34bea3dfd5cac8df9033ec1bd621b,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/tables/actor_type_network_position_matrix.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,168,7c2af6e66791d81a6a5834b929d304d0c3faf154a813a4310467a91feb184f7f,False,1,README.md,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/tables/actor_type_summary.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,1111,d727dd03c67caa9fe73fd2e44824df1c765b26944bd2bc76bed3fbb13ee30b1b,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/tables/actor_type_universe_summary.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,676,4bfd884ec9b93caed6d2a51296cbd4c2562fbea770f95d68da949604628f6f94,False,2,README.md; scripts/apply_rm2_sentiment_v2_final_inference.py,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/tables/actor_universe_audit.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,368,ff1bcbe6f5959f53b3dc6fe4751182d0de669310c40dbbd9d7f04ff7acca1463,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/tables/community_actor_summary.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,27155,af0db049761e1ee1c6b1ea1b4dd37c40aac11592ec77afff2a6a4512a4fb2ad4,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/tables/gephi_lcn_edge_integrity_audit.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,693,9a788457a8ba2a26e5d4a00466493561bc2474370c351ca98a804887de744647,False,1,README.md,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/tables/hcc_alignment_coverage.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,2275,f8b89223cdf1f518b5d382f766e13ffd050a5b531a8dcaf2b2db2da24b8bf108,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/tables/hcc_association_ambiguity_summary.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,2845,269d972b00888f2cb7f1aa73d3ecf19839e79878e93efc8f5e0530920454130d,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/tables/individual_actor_candidates.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,5194,7a6ad567afc73040fdca69c741e78ce748a19920ced77db48beacd45cd85d4bc,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/tables/individual_actor_summary.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,12125,022cb12fd516f834e5c8a3835fd4b9591a9cb4cf5de9d43263a7df2d4ce4886a,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/tables/individual_hcc_association.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,28551,b45e91508624607e495ed0aef99c506d90fcc1080d0a54510597b5bd689a1be8,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/tables/lcn_actor_type_edge_summary.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,569,ed825fb5a01134b17449b8cce268af4232eeaac29a1cb0168b18677654921ef1,False,1,README.md,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/tables/lcn_actor_type_summary.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,468,4f8c01c681c9ac543ec1fb1c614be0b3f73a2dda12acef74945df7390ac508f3,False,1,README.md,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/tables/mass_actor_exposure.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,8357805,b70ad6270c2bd067b32d6fe91ddf18c55c13cfae9ca4f21499ec64ca55b04bf7,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/tables/mass_comment_hcc_alignment.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,468688,00bc9afdbdebfdfb801896009c79f3d6143f853723b3e3e6929a85d6d55d52e1,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/tables/mass_hcc_association.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,14078484,2232082e68e1b7ce2ef1a81a136eeb8d5aa3fe5048d4395a9d243f6e8bef48f7,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/tables/method_thresholds.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,611,1b47ffb99ed6947b129f25bdb12fd32e1f4e2f6a4e21a2262080ede837929298,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/tables/reply_validation_audit.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,2373847,45238c2c763bb552832f5d5718290e3dd8ce7ef97608fce8c55663933affbeda,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/tables/three_dimensions_typology_account.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,12667966,1a36174a525e25e7ae28273d52ff76f9fad4b535c4d0bde996d5c8f27bdf1a0e,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/tables/three_dimensions_typology_hcc.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,27155,af0db049761e1ee1c6b1ea1b4dd37c40aac11592ec77afff2a6a4512a4fb2ad4,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/visualisasi/actor_type_account_count.png,tracked,not_ignored,image/png,.png,86925,14f0fde2881272b2369c5c32dfc64121a3e342b857a0d895729a9d5e8ac2b8a0,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/visualisasi/actor_type_by_account_goal_orientation.png,tracked,not_ignored,image/png,.png,84425,d1ffc54c985fc96a828f28aaae62aa8f8e4fd78209f30e95d7e8db2301ddacb6,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/visualisasi/actor_type_by_evaluable_account_goals.png,tracked,not_ignored,image/png,.png,73759,2ee1d88745495e7555fd069c0d0c131d7495b8a90bad3c20aaaaec65dafabcec,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/visualisasi/actor_type_comment_count.png,tracked,not_ignored,image/png,.png,95946,6f30337793770018bb6baaa29dc0348160c3e3a17c82c8405c185c9e6c5210ae,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/visualisasi/actor_type_distribution_accounts_absolute.png,tracked,not_ignored,image/png,.png,51221,2a2b3f25a4c672e1625a347ab34b30b7bd6645e7817352a0c75a671c65d3cb29,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/visualisasi/actor_type_distribution_accounts_percentage.png,tracked,not_ignored,image/png,.png,56662,5829e40968f3d3ae082842da0cd4e154dfb5be9a590721b240b96c0101cae460,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/visualisasi/actor_type_distribution_comments_absolute.png,tracked,not_ignored,image/png,.png,50927,de2e5b2a482d42c0095ea2e86ca348ee68dc171d2201a3068801980934cf706f,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/visualisasi/actor_type_distribution_comments_percentage.png,tracked,not_ignored,image/png,.png,55785,857d34d8420c87a3e6335e3ca0f9e9e3290c809ed9ee14ce4e0ac56cb6dd9968,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/visualisasi/actor_type_network_position_stacked.png,tracked,not_ignored,image/png,.png,82103,738ca3ce9e8d9e4732be0bd47f714ee1a322e98068c7e5f18c0535d3cdae452b,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/visualisasi/alignment_coverage_by_hcc.png,tracked,not_ignored,image/png,.png,48094,0081afa577544fcc840bf2883c0bf0535a0f6095e7221f5d54e0d14a67cf94eb,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/visualisasi/community_mass_sentiment_alignment.png,tracked,not_ignored,image/png,.png,81339,90ac126f77e480cf509fa664c6b4eea7b3349ea94a1bb7184ebb1795b9574131,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/visualisasi/hcc_association_status_distribution.png,tracked,not_ignored,image/png,.png,87228,978806f0bb18eec2c3778f83a9df58609244cc0042a001d179353422c458a49f,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/visualisasi/individual_hcc_association.png,tracked,not_ignored,image/png,.png,136443,a1b32841b1eb634137e3a3103de9d27a1c3699c5f16baf800fc272b6e1f014a9,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/visualisasi/lcn_edge_count_by_actor_type_pair.png,tracked,not_ignored,image/png,.png,57671,0feb097bfe67929f2991ade3d0bb43e73a8b4863de33ef12b4f18318b0754a03,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/visualisasi/lcn_edge_weight_by_actor_type_pair.png,tracked,not_ignored,image/png,.png,60574,6831a4cb73935714b72951bb918e33abb2831ea9e5ff606955b1b5080cd3a91d,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/visualisasi/mass_association_by_hcc.png,tracked,not_ignored,image/png,.png,88021,dda88b57d4eaa19a3190689cda5034756f737d8c0904ab2521ebb1dfa78f1bca,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/visualisasi/mass_exposure_level_distribution.png,tracked,not_ignored,image/png,.png,81175,979d4be83ec912f9ac6e531215652fc270fc4cb8249f7c03bd17d22957f7fec1,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/visualisasi/mass_exposure_sentiment_distribution.png,tracked,not_ignored,image/png,.png,95846,7f2c41e258c2e2d963c0d02bc137f3216dd927a89790d692af96b076ebb3bb9c,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/visualisasi/pooled_goal_orientation_by_actor_type.png,tracked,not_ignored,image/png,.png,60027,d0f46f9481216281c681d080bf19e557eaca8601e2565ca947a519c071ae9135,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/visualisasi/pooled_sentiment_distribution_by_actor_type.png,tracked,not_ignored,image/png,.png,69092,65a6b453563156bfeeea36b53c14b53c115183415fe7bc1d7f7525ae6edd47f4,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/visualisasi/reply_validation_status_distribution.png,tracked,not_ignored,image/png,.png,70014,72b0e7f0c57d5374fe3570e4104790c7df4cf196710dc34e641f83561b3e1aa2,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/visualisasi/three_dimensions_actor_target_goal_heatmap.png,tracked,not_ignored,image/png,.png,82831,28dcd64151328af4d7dd20c41d7ea75eb193972593c03e31f5af1e182d704eee,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_comment_similarity/comment_similarity_by_actor_pair.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,449,015fba45f5e727d3e8792b8cc76e73f66317b19eff3c01d88a6ce3d84adf2aa4,False,0,,comment similarity script,presentation / evidence package,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_comment_similarity/comment_similarity_by_brand.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,667,97ab454741d0ec0c213146533b6eec5a5080b0280fe31d9e8e40f8b9769e0fd0,False,0,,comment similarity script,presentation / evidence package,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_comment_similarity/comment_similarity_by_category.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,372,2f0a791ac703b0948c181422366baf77cdd1e94c102713f3b2fb9167aa036bad,False,0,,comment similarity script,presentation / evidence package,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_comment_similarity/comment_similarity_by_hcc.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,501,c5b58c47139ca76bf1ec65d3471e6cedc690407b9cca8f49caa63116c0d60da7,False,0,,comment similarity script,presentation / evidence package,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_comment_similarity/comment_similarity_community_mass_network_overlap.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,393,8230380806cfcd5c5afbadacb8ff537dfb8d66d32a5805478f375b00a415cddb,False,0,,comment similarity script,presentation / evidence package,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_comment_similarity/comment_similarity_integrity_report.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,1030,70f1ba25c39b6f6112965202ea9b8e4fa02c9ab6129c4dc975cc6c47e2040a40,False,1,README.md,comment similarity script,presentation / evidence package,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_comment_similarity/comment_similarity_pairs_all.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,182509640,94a3f32bafd1468abbde38c4d0495ba558f11a4b2022b666fd6d45e6323e318c,True,2,.gitattributes; README.md,comment similarity script,presentation / evidence package,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_comment_similarity/comment_similarity_run_manifest.json,tracked,not_ignored,application/json,.json,4021,9d7f3d9a7e147fc26d69dbe55420847bd068d8fb0de90c116bbae3b88cea8965,False,0,,comment similarity script,presentation / evidence package,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_comment_similarity/comment_similarity_same_vs_cross_account.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,208,387eba8e8d51f3e9858245ab6b06b75d3df047bd244be4bb0e86d9a1c272aa3f,False,0,,comment similarity script,presentation / evidence package,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_comment_similarity/comment_similarity_same_vs_cross_video.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,206,afd32c9553741023542c17fbdb6d3270d0ede0cace6718729e0a65f6b1a29909,False,0,,comment similarity script,presentation / evidence package,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_comment_similarity/comment_similarity_summary.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,1176,364eb55db52c9cf4e5236bbb0038ec9efc6f089bebb26cc36031c06a73139c8e,False,2,output/rm2_sentiment/model_v2/development_threshold_refreeze_manifest.json; scripts/apply_rm2_sentiment_v2_final_inference.py,comment similarity script,presentation / evidence package,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_comment_similarity/comment_similarity_threshold_audit.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,217,ec5faca88abcea3ab4a2bc362355b4b7d974c5ba5491b9762f2db8f5a0c2e418,False,0,,comment similarity script,presentation / evidence package,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
